family,eps,target,label,n,metric,value,ci_lo,ci_hi
plummer3d,0.05,dS_early,Δentropy(early),500,R2_fine_kin,0.18323127132627226,,
plummer3d,0.05,dS_early,Δentropy(early),500,R2_bulk,0.2945380207962206,,
plummer3d,0.05,dS_early,Δentropy(early),500,R2_phi_best,0.13012761371947157,,
plummer3d,0.05,dS_early,Δentropy(early),500,R2_psi_best,0.38732049499106713,,
plummer3d,0.05,dS_early,Δentropy(early),500,psi_beyond_bulk,0.09276559014248065,0.013507905978092143,0.17794241228995453
plummer3d,0.05,dS_early,Δentropy(early),500,psi_beyond_phi,0.27033163828320106,0.12258498211584841,0.41143194903105684
plummer3d,0.05,dS_early,Δentropy(early),500,psi_beyond_kin,0.18618930640535947,0.08054587020981252,0.2874864130544435
plummer3d,0.05,dS_early,Δentropy(early),500,ell_star_psi,0.09,,
plummer3d,0.05,dQ_late,ΔQ(late),500,R2_fine_pos,0.3601315670969626,,
plummer3d,0.05,dQ_late,ΔQ(late),500,R2_fine_kin,0.3791687267939037,,
plummer3d,0.05,dQ_late,ΔQ(late),500,R2_bulk,0.8862212400225702,,
plummer3d,0.05,dQ_late,ΔQ(late),500,R2_phi_best,0.44068928611088176,,
plummer3d,0.05,dQ_late,ΔQ(late),500,R2_psi_best,0.7286197252733044,,
plummer3d,0.05,dQ_late,ΔQ(late),500,psi_beyond_bulk,0.01375279424163589,-0.0021198348658669677,0.029502943738749912
plummer3d,0.05,dQ_late,ΔQ(late),500,psi_beyond_phi,0.3459942507585616,0.27464786625135323,0.42989024376763724
plummer3d,0.05,dQ_late,ΔQ(late),500,psi_beyond_kin,0.3717507803844673,0.27765663983867,0.4733048089236819
plummer3d,0.05,dQ_late,ΔQ(late),500,ell_star_psi,0.2,,
plummer3d,0.05,dQ_early,ΔQ(early),500,R2_fine_pos,0.5024008150629362,,
plummer3d,0.05,dQ_early,ΔQ(early),500,R2_fine_kin,0.2678886899997852,,
plummer3d,0.05,dQ_early,ΔQ(early),500,R2_bulk,0.9388822625572437,,
plummer3d,0.05,dQ_early,ΔQ(early),500,R2_phi_best,0.5603685423854747,,
plummer3d,0.05,dQ_early,ΔQ(early),500,R2_psi_best,0.7511592773840954,,
plummer3d,0.05,dQ_early,ΔQ(early),500,psi_beyond_bulk,0.015173803171149025,0.007062775722971354,0.025756107052377682
plummer3d,0.05,dQ_early,ΔQ(early),500,psi_beyond_phi,0.28863945261155477,0.19857472058809275,0.4054055840953881
