seed,orig_beta1,orig_Lspec1,orig_C81,orig_Mcen1,rad_beta1,rad_Lspec1,rad_C81,rad_Mcen1,lmatch_beta1,lmatch_Lspec1,lmatch_C81,lmatch_Mcen1,sham_beta1,sham_Lspec1,sham_C81,sham_Mcen1
2045,0.5462331916737458,1.287371123608986,14.411865234375,0.013671875,0.7059487952173321,0.959332496637297,18.462646484375,0.0439453125,0.6371832012843192,0.997890632832096,14.641952514648438,0.0185546875,0.5341416572315608,1.2936149166216968,14.72552490234375,0.0126953125
2046,0.476904482419128,1.3139879677876212,24.20504379272461,0.0556640625,0.6463462782746977,0.9963038762682201,22.179443359375,0.0634765625,0.5584984957617034,1.0289581384221755,26.671493530273438,0.0400390625,0.47530006892564225,1.2937705166005269,26.4375,0.04296875
2049,0.5634298881942272,1.2382584851770275,25.17425537109375,0.013671875,0.7103819156817248,0.8794988035885808,26.48958969116211,0.029296875,0.6490330604667168,0.9124677972232912,20.7890625,0.0185546875,0.5757345238313415,1.2653244644130233,25.20730209350586,0.013671875
2047,0.5508494686272236,1.116338595999293,22.79836654663086,0.01953125,0.7319685654351651,0.7967663914926746,22.81667709350586,0.0537109375,0.6236535802937495,0.8346633854002339,19.97259521484375,0.03515625,0.5477231555107805,1.119520354425245,20.76363754272461,0.0283203125
2048,0.5572937256362926,1.2402114078185067,16.883907318115234,0.0224609375,0.6854985381101013,0.9007353735383131,23.864376068115234,0.03515625,0.647191031003752,0.9379605722535718,18.769515991210938,0.021484375,0.5354506587999557,1.262910025634867,20.711788177490234,0.0166015625
2050,0.49174227111202284,1.3640189474847075,26.679672241210938,0.0615234375,0.6369339329237931,1.0004098474470045,43.33050537109375,0.0986328125,0.5224887045582934,1.0322837902427373,40.820068359375,0.0947265625,0.4816172897616988,1.3550644281290236,21.9375,0.052734375
2051,0.5046112848707964,1.3581956667357105,22.493148803710938,0.04296875,0.6647558802211465,1.0446049488443692,18.141586303710938,0.044921875,0.6040499725552526,1.0830765429845237,17.720932006835938,0.0361328125,0.519272414530158,1.3407767125926708,18.64642333984375,0.05078125
2052,0.5122001840320626,1.2385132808201154,28.911922454833984,0.0126953125,0.6754005545326545,0.9051694437003485,28.652328491210938,0.009765625,0.6150654660967317,0.9311161038487762,23.76302719116211,0.0400390625,0.528895204581797,1.2412490835622458,30.870956420898438,0.0185546875
2053,0.42187491572645386,1.2354784788099729,40.09515380859375,0.0166015625,0.6222186463333914,0.9303115714620211,35.871150970458984,0.0400390625,0.5152439139289682,0.9550307672231492,31.839599609375,0.0390625,0.44241312768394014,1.2377244133050014,38.19826889038086,0.01171875
2054,0.5414647783706993,1.3092725064332642,20.412349700927734,0.0341796875,0.6817221680692671,0.9656356470052103,24.66280746459961,0.0517578125,0.6215792214877096,1.0023177481188619,20.15472412109375,0.041015625,0.5282385232389801,1.3216158355102117,20.780818939208984,0.04296875
2056,0.5365662371734788,1.2965515242555994,23.954219818115234,0.0068359375,0.680218201971343,0.9596067827962665,33.46836853027344,0.013671875,0.6330938300544876,0.9929276937042619,23.01089096069336,0.01953125,0.5263441010887124,1.28451884269656,25.490951538085938,0.0068359375
2055,0.5268781747986888,1.296097290993289,24.970077514648438,0.001953125,0.6639311108916416,0.967445592265254,26.449275970458984,0.00390625,0.5946643857454514,0.9999096342260534,21.40291976928711,0.0068359375,0.5302036401665529,1.2969979401797156,24.111080169677734,0.0146484375
2057,0.5232487616484163,1.2221846895001023,28.386474609375,0.0146484375,0.7011794097278063,0.8858367534446305,26.105453491210938,0.01953125,0.6159906812015432,0.9204820377665679,21.440170288085938,0.0205078125,0.5078102910710733,1.2290142740447367,23.85732650756836,0.01953125
2058,0.5553937185861083,1.2496622192242235,20.51089096069336,0.017578125,0.6960305628177703,0.911775569052188,20.02370834350586,0.0283203125,0.6181353088164534,0.946445233947852,17.911006927490234,0.025390625,0.5583559545465239,1.2582694207241532,17.94198226928711,0.0205078125
2059,0.5381823503162695,1.2866988840213844,21.366943359375,0.060546875,0.6735432976917584,0.9628452241695735,25.450862884521484,0.091796875,0.6152922532596667,0.9989158873104218,20.538681030273438,0.04296875,0.5618777140207422,1.2890465321853841,19.825984954833984,0.046875
2060,0.5746635572426737,1.4189334547220405,22.05532455444336,0.0224609375,0.7016419231304285,1.0227462451542635,23.74514389038086,0.044921875,0.6490877646098061,1.0660377187691406,21.984848022460938,0.0126953125,0.5787694889850896,1.4124856927663014,20.48870849609375,0.0146484375
