seed,beta0_orig,beta0_int,beta0_sham,beta1_orig,beta1_int,beta1_sham,sigr1_orig,sigr1_int,sigr1_sham,Q0_orig,Q0_int,L0_orig,L0_int
2058,0.07177024529230291,0.6768575919238458,0.05134073460917876,0.47091827901004035,0.6108053600337243,0.4799522200938897,0.5398123294488056,0.6008623829734445,0.5432385210406224,2.0646234713599867,2.064312385599795,0.07424529789704344,0.06393251102789309
2057,-0.0711093738697135,0.6335997213806754,-0.08165244760923418,0.4312847572834393,0.6415814810385023,0.42061163469496143,0.5500426272074358,0.6275198312365539,0.5525898014032863,1.9947585031945063,1.994716405463083,0.06641946649667217,0.033508315665566446
2059,-0.09813950155067275,0.6206540098633941,-0.06646156312882368,0.44784820171287576,0.5900829009142459,0.48376165410084326,0.5463244549023321,0.6164229021154967,0.5621090940624627,2.0232617544701337,2.0230960749501046,0.09579698298270507,0.08898088848613057
2056,0.03608485738795697,0.6540314062423263,0.03844162738342671,0.45142340894568866,0.5965876476589063,0.4517461569450131,0.5464569813495789,0.6114155745113445,0.5594796399803497,1.953240395460566,1.9531467302461454,0.10423271550958851,0.09229865871352236
2060,-0.10784498325408065,0.6204880199302322,-0.15558414807064613,0.4859746744278788,0.6107989102085902,0.49178715945791107,0.5401421763894753,0.5986325006163166,0.5297491137281485,2.198883924334477,2.19861719026047,0.0669640753872172,0.04317222347830436
2062,0.021130870908359634,0.6567718573613952,0.07435171717252798,0.3514116671513451,0.5652652306990715,0.39092287133448955,0.5749330739554561,0.6556798376008831,0.5929268904827542,1.8374730143743077,1.83730737060696,0.051470085868290584,0.043941870411475806
2061,0.07566842719875,0.6722760762024629,0.11610137317477587,0.48851905805946516,0.6469671903634027,0.4557445211610279,0.5585140479677031,0.620954582017434,0.5423445204385824,2.1782782552555,2.1781630667109804,0.07103821321512632,0.061013945881250954
2063,0.08543812484352098,0.6729996542006851,0.09046615810435632,0.43804603662268915,0.5992599359769637,0.4835382353182909,0.5513511733265111,0.6068977960596295,0.5748589842462956,2.0815435731049576,2.0814192206655995,0.08923370414935172,0.074196388122008
2064,0.032676867119441955,0.6534679763356337,0.03235338574756608,0.4032980658206371,0.5708424133580827,0.3902763092081848,0.5471999404889787,0.608177657397626,0.5390285864035206,1.9641731554761515,1.963788605638257,0.07746512967795893,0.05715900233003638
2066,0.050166752581098706,0.6619527102482671,0.07074897475749897,0.5399582332925211,0.6680188549070194,0.5260017430691641,0.5674174675834539,0.6341623187473778,0.5562273452382622,2.1118810162219903,2.1116681528788597,0.060159409714308575,0.06063807418574039
2065,-0.017138428977455655,0.6423773094409552,-0.03822788706785718,0.5556687448025104,0.6566679805951097,0.532743001890917,0.5221638668308599,0.5857987169510146,0.5190317763360562,2.3384017013433875,2.3383257079916437,0.13643692042443564,0.10559955141438797
2068,0.015760894204557285,0.648567701361482,-0.010400533651230726,0.4969698475464226,0.6086423430767505,0.4573307189233633,0.5491164041311755,0.5946305775800493,0.5394553777753773,2.0580080294253134,2.0577477240583995,0.04322678926265035,0.040216679150034934
2067,0.015715314028802108,0.6521262754978953,0.02456238023322277,0.4588634882772009,0.6377704895610148,0.476440824092075,0.5705930666309399,0.6392863891959654,0.5616231124660266,2.0262687987082963,2.0261946834694315,0.15777946852493577,0.11396010946412467
2070,0.02616226325240001,0.6604531956228415,0.009548952828700275,0.45552389184123676,0.6176162269279888,0.44392890092056514,0.5531466058054448,0.6133550488792473,0.5491972672141614,2.0108465712677637,2.0102898427948026,0.04075859318685908,0.027053194446076227
2069,-0.02972896476252851,0.6387113012641192,-0.08464299496571992,0.4674306452826543,0.6491367399693624,0.4831115896883892,0.5426269614783269,0.6159366925007607,0.5417817423957253,2.0753623508374126,2.0747366276106454,0.0634798995369025,0.05274162571890067
2071,0.025579260037272622,0.6593660194706936,0.03748732016320766,0.5120558045847754,0.6375476284050001,0.5405237961780829,0.5474739553883531,0.6086257793300944,0.55729497612951,2.031625138480636,2.0315827729683282,0.0469360978525098,0.030307928831956227
2072,-0.005866100009640274,0.6499816183870735,0.002502003168107114,0.49859474445449325,0.665555858626789,0.48701917289553387,0.5302104302453534,0.6062293746121032,0.5260681021493212,2.3098456382344774,2.3098259674527655,0.13927483544942104,0.11073976336963527
2073,0.07514649347919278,0.6713544513107956,0.0778287113924171,0.42140223748848815,0.5918537232019367,0.42478811392818694,0.5851141181878601,0.6451165611175346,0.5745721620771853,1.8542101983937582,1.853956658947422,0.07118191266874485,0.059753238675974804
2075,-0.029734255224147077,0.6417454310423801,-0.018873439899184108,0.47645259619221336,0.6234579007219792,0.497552470265616,0.5648299464320586,0.6226933541059425,0.5695988633680139,2.089074956814185,2.0889069920580976,0.06632553628325145,0.04823838100162991
